id;service_description;service_start_date;service_end_date;service_price
1;Generic Wooden Keyboard Maine Group;2020-05-25;2020-05-26;84569
2;Grocery Hong Kong;2020-05-26;2020-05-26;71640
3;Tasty Steel Hat circuit;2020-05-25;2020-05-25;36478
4;Generic Cotton Tuna;2020-05-25;2020-05-26;3449
5;Bedfordshire;2020-05-25;2020-05-26;99857
6;Awesome Granite Shirt multimedia;2020-05-25;2020-05-25;38562
7;Home Loan Account;2020-05-26;2020-05-26;85559
8;Intuitive Developer;2020-05-25;2020-05-26;79842
9;Bedfordshire;2020-05-26;2020-05-26;28923
10;Gabon solid state holistic;2020-05-25;2020-05-25;58200
