id;transport_type;transport_name;transport_description
1;RAILWAY;magenta payment;Generic Concrete Ball
2;RAILWAY;Plastic Usability;deposit platforms robust
3;AIRWAY;Optimization Handmade;Licensed program
4;RAILWAY;Bacon program networks;withdrawal morph Avon
5;WATERWAY;Trinidad and Tobago;neural
6;RAILWAY;dot-com Programmable array;Intelligent 1080p Auto Loan Account
7;ROADWAY;niches;Yuan Renminbi Lights Coordinator
8;RAILWAY;Principal generating Arizona;eyeballs
9;ROADWAY;enhance HDD;Iraq back-end
10;ROADWAY;Auto Loan Account copy;SSL redundant
