id;street_address;street_number;postal_code;city;state_province;country_name
1;Secured productize;schemas;calculate program;Karlborough;Pants;multi-byte Soft
2;Colombia Licensed Plastic Hat;International Peso Uruguayo Uruguay Peso en Unidades Indexadas;Liaison Chief;Barrowsfort;explicit Gold;harness port neural
3;District;Bike parse;Car Granite stable;North Sylvester;Concrete leading-edge;SCSI
4;Concrete sky blue;Bolivar Fuerte backing up;Licensed European Unit of Account 17(E.U.A.-17) auxiliary;Welchmouth;Venezuela Checking Account;Small Soft Pizza
5;extend Fully-configurable e-services;EXE Illinois;Incredible Fresh Keyboard;Fredericshire;Beauty Fantastic Plastic Computer;Principal Soft
6;impactful infomediaries Martinique;deposit synthesize;Missouri fuchsia;Pacochaport;pixel Jewelery Movies;Stream cross-platform
7;online;Fresh auxiliary;connect TCP Mauritius;Ratkebury;teal;full-range
8;synthesize Refined sky blue;drive bus;digital payment;South Luz;leading-edge IB;holistic Colorado
9;utilisation Kiribati;Automotive;Rapid viral extensible;West Raphaelle;Strategist viral;approach compressing
10;next-generation Automotive;seamless Tasty connect;architect Movies;Greenholtland;Borders Cambridgeshire Rwanda Franc;withdrawal orchid
