id;package_name;package_description;package_discount;package_price
1;Representative;Ouguiya clicks-and-mortar Granite;71202;78338
2;Lempira;card revolutionize;57961;79537
3;Liaison toolset backing up;Clothing;8861;20268
4;deposit Liaison Credit Card Account;Central;38060;16479
5;Front-line Chilean Peso Unidades de fomento Unbranded Fresh Tuna;deposit hacking Ergonomic;97272;55127
6;EXE Generic;Optimized;40032;7912
7;even-keeled indexing;Plastic Bike;79599;61366
8;Cordoba Oro hard drive parsing;Pants definition Tunisia;66816;78981
9;invoice innovate;productize Intelligent Cotton Pizza SAS;11634;42225
10;Awesome Wooden Hat Bedfordshire;extensible RAM;24540;54838
